Date,Tmean [°C]
2020.10.08,14.7
2020.10.09,15.5
2020.10.10,17.9
2020.10.11,13.6
2020.10.12,11.6
2020.10.13,9.1
2020.10.14,10.3
2020.10.15,11.5
2020.10.16,11.1
2020.10.17,9.6
2020.10.18,10.1
2020.10.19,11.1
2020.10.20,12.2
2020.10.21,12.8
2020.10.22,13
2020.10.23,13.6
